Date,ITC.NS,BAJFINANCE.NS
2009-07-06,65.9000015258789,14.219091415405273
2009-07-07,70.4000015258789,14.18994426727295
2009-07-08,69.81666564941406,14.471701622009277
2009-07-09,71.13333129882812,14.486275672912598
2009-07-10,70.19999694824219,14.151080131530762
2009-07-13,70.28333282470703,13.60699462890625
2009-07-14,70.80000305175781,14.42798137664795
2009-07-15,72.41666412353516,17.31357765197754
2009-07-16,72.44999694824219,16.419723510742188
2009-07-17,76.41666412353516,17.503036499023438
2009-07-20,75.1500015258789,17.901384353637695
2009-07-21,73.21666717529297,17.711925506591797
2009-07-22,72.66666412353516,17.823657989501953
2009-07-23,76.58333587646484,17.245567321777344
2009-07-24,77.4000015258789,17.13869285583496
2009-07-27,79.61666870117188,18.445470809936523
2009-07-28,80.33333587646484,18.994413375854492
